,Brand,Avg Rating,Total Comment,Seller Rating,Ağırlık,Aşılabilir Engel,Boy,Çalışma Mod Sayısı,Çalışma Süresi,Derinlik,Emiş Türü,EPA/HEPA Filtre,Kullanım Alanı,Pil Tipi,Renk,Ses Seviyesi,Su Tankı Kapasitesi,Şarj Süresi,Toz Kapasitesi,Price
0,Xiaomi,4.3,7820.0,"9,9",3.0,18.0,80.0,3.0,110.0,324.0,Kuru,Var,"Düz Zemin, Halı, Sert Zemin",Li-ion,Beyaz,72.0,0.0,4.0,0.0,3389.0
1,Xiaomi,4.7,8807.0,10,3.0,15.0,80.0,3.0,120.0,324.0,"Islak, Kuru",Var,"Düz Zemin, Halı, Sert Zemin",Li-ion,Beyaz,50.0,0.0,4.0,0.0,4179.0
2,Roborock,4.8,1562.0,10,4.0,20.0,96.0,2.0,180.0,353.0,Islak,Var,Düz Zemin,Li-ion,Beyaz,67.0,0.0,2.0,0.0,9527.0
3,Roborock,4.8,8480.0,"9,9",3.0,20.0,350.0,5.0,150.0,360.0,Kuru,Var,Halı,Li-ion,Beyaz,55.0,0.0,1.0,0.0,7657.0
4,Xiaomi,4.7,4548.0,"9,5",3.0,20.0,8.0,3.0,180.0,350.0,"Islak, Kuru",Var,"Düz Zemin, Halı, Sert Zemin",Li-ion,Siyah,80.0,0.0,3.0,0.0,6057.0
5,Tefal,4.7,157.0,"9,9",4.0,10.0,80.0,4.0,120.0,80.0,Kuru,Var,Sert Zemin,Li-ion,Siyah,65.0,0.0,4.0,0.0,8499.0
6,Viomi,4.7,2357.0,"9,6",3.0,20.0,350.0,4.0,180.0,123.0,Kuru,Var,Sert Zemin,Li-ion,"Siyah, Siyah",65.0,0.0,3.0,0.0,6149.0
7,Viomi,4.3,86.0,"9,8",3.0,20.0,100.0,4.0,215.0,350.0,Kuru,Yok,Düz Zemin,NiMH,Beyaz,70.0,0.0,3.0,0.0,6999.0
8,Xiaomi,4.7,8876.0,10,6.0,10.0,350.0,3.0,120.0,95.0,Kuru,Var,Düz Zemin,Li-ion,Beyaz,40.0,0.0,4.0,0.0,4858.0
9,Roidmi,4.7,2216.0,10,3.0,20.0,120.0,5.0,150.0,355.0,Kuru,Var,"Düz Zemin, Halı, Sert Zemin",Li-ion,"Beyaz, Beyaz",50.0,0.0,3.0,3.0,8799.0
10,Roborock,4.8,2330.0,"9,8",3.0,20.0,353.0,2.0,180.0,10.0,"Islak, Kuru",Var,"Düz Zemin, Halı, Sert Zemin",Li-ion,Siyah,67.0,0.0,5.0,0.0,7899.0
11,Roborock,4.8,1448.0,10,3.0,20.0,350.0,5.0,150.0,360.0,Kuru,Var,Halı,Li-ion,Siyah,55.0,0.0,1.0,0.0,7499.0
12,Roborock,4.8,546.0,10,4.0,20.0,96.0,2.0,180.0,353.0,Islak,Var,Düz Zemin,Li-ion,Siyah,67.0,0.0,2.0,0.0,9799.0
